date,max_temperature,avg_hourly_temperature,avg_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_hourly_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_hourly_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_hourly_wind_speed,avg_wind_speed,min_wind_speed,max_wind_gust,wind_gust_dir_10s,max_pressure_sea,avg_hourly_pressure_sea,avg_pressure_sea,min_pressure_sea,max_pressure_station,avg_hourly_pressure_station,avg_pressure_station,min_pressure_station,max_visibility,avg_hourly_visibility,avg_visibility,min_visibility,max_health_index,avg_hourly_health_index,avg_health_index,min_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_7,growdegdays_10,precipitation,rain,snow,snow_on_ground,sunrise_hhmm,sunrise_unixtime,sunrise_f,sunset_hhmm,sunset_unixtime,sunset_f,daylight,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast,solar_radiation,max_cloud_cover_4,avg_hourly_cloud_cover_4,avg_cloud_cover_4,min_cloud_cover_4,max_cloud_cover_8,avg_hourly_cloud_cover_8,avg_cloud_cover_8,min_cloud_cover_8,max_cloud_cover_10,avg_hourly_cloud_cover_10,avg_cloud_cover_10,min_cloud_cover_10
2024-09-08,21.9,18.33,18.64,15.4,27,,100,90.1,88,76,18.2,16.6,16.8,15.3,16,8.5,8,0,,,101.26,101.11,101.1,100.93,101.21,101.06,101.04,100.88,32200,29837.5,28150,24100,2.8,2,2,1.3,0,0.6,13.6,11.6,8.6,0,0,0,,06:40:00,1725802800,6.67,19:39:00,1725849540,19.65,12.98,6,6,25,25,16,17,,,,,,8,5.8,5,2,,,,
2024-09-07,21.4,18.7,18.85,16.3,27,,100,92.4,89.5,79,18.3,17.4,17.4,16.4,25,14.71,14.5,4,31,30,101.42,101.22,101.19,100.97,101.37,101.17,101.14,100.92,32200,28150,28150,24100,3.5,2.3,2.5,1.6,0,0.9,13.8,11.8,8.8,0,0,0,,06:38:00,1725716280,6.63,19:41:00,1725763260,19.68,13.05,6,6,24,24,15,15,,,,,,8,4.9,4,0,,,,
2024-09-06,23.2,19.06,18.5,13.8,29,,100,89.1,86,72,18.6,17.1,16.3,14,22,11.58,11,0,,,101.77,101.59,101.55,101.34,101.72,101.54,101.51,101.29,32200,28825,28150,24100,4.7,2.6,3,1.4,0,0.5,13.5,11.5,8.5,0,0,0,,06:37:00,1725629820,6.62,19:43:00,1725676980,19.72,13.1,6,6,24,24,16,16,,,,,,3,0.9,1.5,0,,,,
2024-09-05,24.7,19.1,18.89,13.1,30,,100,88.5,82.5,65,19.1,17,16.1,13.2,16,7.38,8,0,,,102.15,101.93,101.88,101.6,102.1,101.88,101.83,101.55,32200,30850,28150,24100,3.9,2.2,2.5,1,0,0.9,13.9,11.9,8.9,0,0,0,,06:36:00,1725543360,6.6,19:45:00,1725590700,19.75,13.15,6,6,24,24,16,17,,,,,,4,1.2,2,0,,,,
2024-09-04,22,17.3,16.85,11.7,27,,100,91.7,86.5,73,17.8,15.9,15.2,12.6,19,8.96,9.5,0,,,102.35,102.22,102.19,102.04,102.3,102.17,102.14,101.99,32200,32200,32200,32200,3.1,1.7,2,1,1.1,0,11.8,9.8,6.8,0,0,0,,06:34:00,1725456840,6.57,19:47:00,1725504420,19.78,13.22,6,6,23,23,15,15,,,,,,3,0.6,1.5,0,,,,
2024-09-03,19.5,16.53,16.85,14.2,,,100,92.6,91.5,83,16.4,15.3,15.2,14.1,16,8.88,8,0,27,22,102.3,102.14,102.05,101.8,102.25,102.09,102,101.75,32200,30850,28150,24100,2.2,1.5,1.6,1,1.1,0,11.8,9.8,6.8,0,0,0,,06:33:00,1725370380,6.55,19:49:00,1725418140,19.82,13.27,4,5,21,21,13,14,,,,,,8,5.4,4.5,1,,,,
2024-09-02,20.9,17.48,17.89,14.9,26,,99,87.6,87.5,76,16.4,15.3,15.6,14.8,20,14.46,14,8,32,11,101.8,101.43,101.49,101.18,101.75,101.38,101.44,101.13,32200,32200,32200,32200,2.2,1.8,1.7,1.2,0.1,0,12.9,10.9,7.9,0,0,0,,06:31:00,1725283860,6.52,19:51:00,1725331860,19.85,13.33,5,6,22,22,14,14,,,,,,8,5.2,4.5,1,,,,
2024-09-01,23.4,18.86,18.45,13.5,28,,100,86.5,83.5,67,18.2,16.4,16.4,14.5,21,10.96,12.5,4,,,101.36,101.2,101.14,100.93,101.31,101.15,101.09,100.88,48300,32870.8,40250,32200,3.8,2.2,2.4,1,0,0.4,13.4,11.4,8.4,0,0,0,,06:30:00,1725197400,6.5,19:53:00,1725245580,19.88,13.38,6,6,22,23,15,15,,,,,,7,4.6,3.5,0,,,,
2024-08-31,22,18.04,17.25,12.5,28,,100,91.6,87.5,75,17.9,16.6,15.9,13.9,25,12.12,12.5,0,,,101.86,101.66,101.6,101.34,101.81,101.61,101.55,101.29,48300,33866.7,36200,24100,3.1,1.9,2,1,0.8,0,12.2,10.2,7.2,0,0,0,,06:28:00,1725110880,6.47,19:55:00,1725159300,19.92,13.45,6,6,22,22,15,15,,,,,,0,0,0,0,,,,
2024-08-30,21.1,17.36,15.95,10.8,26,,100,90.4,87,74,17.3,15.7,14.8,12.4,22,10.83,11,0,,,102.05,101.9,101.91,101.77,102,101.85,101.86,101.72,32200,30850,28150,24100,2.9,1.7,2,1,2,0,10.9,8.9,6,0,0,0,,06:27:00,1725024420,6.45,19:58:00,1725073080,19.97,13.52,6,6,22,22,14,14,,,,,,1,0.2,0.5,0,,,,
